篇名,分词结果
"雷根平运用大剂量药物经验","雷根平运用 大剂量 药物 经验"
"刘鲁明治疗胰腺癌应用大剂量清热解毒药物不败胃经验介绍","刘鲁明 治疗 胰腺癌 应用 大剂量 清热解毒药物 不败胃 经验介绍"
"柴胡垂盆汤对骨肉瘤患者大剂量甲氨蝶呤化疗所致肝损害修复作用研究","柴胡垂盆汤 对 骨肉瘤患者 大剂量 甲氨蝶呤 化疗所致肝损害修复作用 研究"
"大剂量葛根治疗颈性眩晕验案举隅","大剂量 葛根 治疗 颈性眩晕 验案 举隅"
"王笑民应用大剂量中药治疗肿瘤经验","王笑民应用 大剂量 中药 治疗 肿瘤 经验"
"不同剂量大承气汤灌肠联合大剂量皮硝外敷治疗肠梗阻的临床观察","不同剂量大承气汤灌肠 联合 大剂量 皮硝 外敷 治疗 肠梗阻的临床观察"
"四磨汤加味大剂量白术治疗顽固性便秘39例","四磨汤加味 大剂量 白术 治疗 顽固性便秘39例"
"卢尚岭大剂量用药经验总结与思考","卢尚岭 大剂量 用药 经验总结 与 思考"
"浅析大剂量生白术治疗小儿功能性便秘","浅析 大剂量 生白术 治疗 小儿功能性便秘"
"赵学印教授超大剂量有毒中药的临床应用","赵学印教授 超大剂量 有毒中药的临床应用"
"大剂量黄芪免煎颗粒治疗慢性心力衰竭的短期疗效观察","大剂量 黄芪 免煎颗粒 治疗 慢性心力衰竭的短期疗效观察"
"刘沈林教授用大剂量黄芪、党参治疗胃癌术后气虚证验案启迪","刘沈林教授用 大剂量 黄芪 、 党参 治疗 胃癌术后气虚证 验案启迪"
"大剂量参附注射液治疗急诊多发伤合并休克的疗效观察","大剂量 参附注射液 治疗 急诊多发伤合并休克的疗效观察"
"王伟应用大剂量三棱和莪术的临床经验总结","王伟应用 大剂量 三棱 和 莪术的临床经验总结"
"大剂量生黄芪对呼吸机相关膈肌功能障碍的影响","大剂量 生黄芪 对 呼吸机相关膈肌功能障碍的 影响"
"短期大剂量氢化可的松诱发小鼠药源性证候的评价研究","短期 大剂量 氢化可的松 诱发小鼠药源性证候的 评价研究"
"仝小林运用大剂量茯苓治疗高血压验案","仝小林运用 大剂量 茯苓 治疗 高血压 验案"
"大剂量仙鹤草对胃溃疡合并消化道出血患者短期转归的影响","大剂量 仙鹤草 对 胃溃疡合并消化道出血患者短期转归的 影响"
"不同剂量大承气汤灌肠联合大剂量皮硝外敷治疗肠梗阻的临床观察","不同剂量大承气汤灌肠 联合 大剂量 皮硝 外敷 治疗 肠梗阻的临床观察"
"真武汤合大剂量参附注射液治疗结直肠癌腹水18例","真武汤 合 大剂量 参附注射液 治疗 结直肠癌腹水18例"
"大剂量生脉合黄芪注射液治疗糖尿病急症疗效观察","大剂量 生脉合黄芪注射液 治疗 糖尿病急症 疗效观察"
"大剂量活血化瘀中药治疗脑出血后迟发性脑水肿疗效观察","大剂量 活血化瘀中药 治疗 脑出血后迟发性脑水肿 疗效观察"
"大剂量黄芪对气虚血瘀慢性心力衰竭患者NT-proBNP、CRP水平及心功能的影响探究","大剂量 黄芪 对 气虚血瘀慢性心力衰竭患者NT-proBNP、CRP水平 及 心功能的 影响 探究"
"陈树泉应用大剂量半夏治疗肿瘤经验","陈树泉应用 大剂量 半夏 治疗 肿瘤 经验"
"大剂量生地凉血汤对脓疱型血热证银屑病疗效观察及对血清肿瘤坏死因子-α的影响","大剂量 生地凉血汤 对 脓疱型血热证银屑病 疗效观察 及 对 血清肿瘤坏死因子-α的 影响"
"大剂量黄芪注射液对慢性肾衰竭患者的治疗效果研究","大剂量 黄芪 注射液 对 慢性肾衰竭患者的 治疗 效果 研究"
"大剂量生白术治疗慢传输型便秘","大剂量 生白术 治疗 慢传输型便秘"
"彭江云教授运用大剂量附子为君药治疗强直性脊柱炎验案举隅","彭江云教授运用 大剂量 附子 为君药 治疗 强直性脊柱炎 验案 举隅"
"大剂量参苓白术散加减对胃癌术后化疗耐受性及生命质量的影响","大剂量 参苓白术散 加减 对 胃癌术后化疗耐受性 及 生命质量的 影响"
"大剂量芍药甘草汤治疗呃逆案例一则","大剂量 芍药甘草汤 治疗 呃逆 案例 一则"
"大剂量复方木尼孜其颗粒治疗女性黄褐斑临床疗效观察","大剂量 复方木尼孜其颗粒 治疗 女性黄褐斑临床疗效观察"
"《圣余医案》大剂量应用白术的经验","《圣余医案》 大剂量 应用 白术的 经验"
"大剂量甘草组方治疗风痰阻肺型哮喘的疗效与安全性分析","大剂量 甘草 组方 治疗 风痰阻肺型哮喘的疗效 与 安全性分析"
"大剂量黄芪注射液合当归芍药散治疗肾性水肿34例","大剂量 黄芪 注射液 合 当归芍药散 治疗 肾性水肿34例"
"大剂量脉络宁注射液治疗糖尿病周围神经病变40例临床疗效","大剂量 脉络宁注射液 治疗 糖尿病周围神经病变40例临床疗效"
"大剂量生大黄辅助治疗重症急性胰腺炎肠麻痹的疗效研究","大剂量 生大黄 辅助治疗 重症急性胰腺炎肠麻痹的疗效研究"
"镇痛下大剂量牵引结合手法治疗腰椎间盘突出症56例疗效分析","镇痛下 大剂量 牵引 结合 手法 治疗 腰椎间盘突出症56例疗效分析"
"大剂量土茯苓辨治痛风","大剂量 土茯苓 辨治 痛风"
"史锁芳教授运用大剂量黄芪临床经验","史锁芳教授运用 大剂量 黄芪 临床经验"
"大剂量疏血通联合针灸治疗老年急性脑梗死临床研究","大剂量 疏血通 联合 针灸 治疗 老年急性脑梗死临床研究"
"《伤寒论》药物大剂量应用初步探讨","《伤寒论》药物 大剂量 应用 初步探讨"
"大剂量生白术配伍枳实治疗慢传输型便秘62例","大剂量 生白术 配伍 枳实 治疗 慢传输型便秘62例"
"超大剂量附子、苍术治疗重症阳虚寒湿型强直性脊柱炎验案1则","超大剂量 附子 、 苍术 治疗 重症阳虚寒湿型强直性脊柱炎 验案 1则"
"大剂量甘草组方治疗风痰阻肺型支气管哮喘急性发作的临床研究","大剂量 甘草 组方 治疗 风痰阻肺型支气管哮喘急性发作的临床研究"
"中医辨证治疗大剂量人参致药物性肝炎患者1例","中医辨证 治疗 大剂量 人参 致 药物性肝炎患者1例"
"雷根平用大剂量黄芪治疗糖尿病肾病验案1则","雷根平用 大剂量 黄芪 治疗 糖尿病肾病 验案 1则"
"大剂量应用附子治疗脑瘤典型病例分析","大剂量 应用 附子 治疗 脑瘤典型病例分析"
"大剂量黄芪对慢性阻塞性肺病急性加重期合并肺真菌病的疗效观察","大剂量 黄芪 对 慢性阻塞性肺病急性加重期合并肺真菌病的疗效观察"
"大剂量复方丹参注射液治疗高脂血症性急性胰腺炎的临床研究","大剂量 复方丹参注射液 治疗 高脂血症性急性胰腺炎的临床研究"
"大剂量芒硝外敷治疗危重病患者胃肠功能障碍35例","大剂量 芒硝 外敷 治疗 危重病患者胃肠功能障碍35例"
"《金匮要略》大剂量黄芪应用验案举隅","《金匮要略》 大剂量 黄芪 应用 验案 举隅"
"大剂量生半夏治疗失眠验案一则","大剂量 生半夏 治疗 失眠 验案 一则"
"张志远先生应用大剂量白术经验","张志远先生应用 大剂量 白术 经验"
"对大剂量藤梨根截断扭转慢性萎缩性胃炎的认识","对 大剂量 藤梨根 截断扭转慢性萎缩性胃炎的认识"
"大剂量生地凉血汤对脓疱型血热证银屑病疗效观察及对血清肿瘤坏死因子-α的影响","大剂量 生地凉血汤 对 脓疱型血热证银屑病 疗效观察 及 对 血清肿瘤坏死因子-α的 影响"
"生脉散与磷酸肌酸钠联合大剂量维生素C治疗病毒性心肌炎临床疗效对比观察","生脉散 与 磷酸肌酸钠 联合 大剂量 维生素C 治疗 病毒性心肌炎临床疗效对比观察"
"大剂量大黄合用中药复方治疗早期慢性肾功能衰竭的临床观察","大剂量 大黄 合用中药复方 治疗 早期慢性肾功能衰竭的临床观察"
"大剂量活血化瘀中药治疗脑出血后迟发性脑水肿疗效观察","大剂量 活血化瘀中药 治疗 脑出血后迟发性脑水肿 疗效观察"
"养阴合剂防治肾病综合征大剂量激素治疗副作用的适时性探讨","养阴合剂 防治 肾病综合征 大剂量 激素 治疗 副作用的适时性 探讨"
"大剂量消痔灵注射液治疗重度直肠脱垂1例","大剂量 消痔灵注射液 治疗 重度直肠脱垂1例"
"八珍汤联合大剂量化疗治疗骨肉瘤临床观察","八珍汤 联合 大剂量 化疗 治疗 骨肉瘤临床观察"
"自拟护肝方治疗骨肉瘤大剂量甲氨蝶呤化疗后药物性肝损伤的临床观察","自拟护肝方 治疗 骨肉瘤 大剂量 甲氨蝶呤 化疗后药物性肝损伤的临床观察"
"大剂量细辛治疗脑鸣耳鸣体会","大剂量 细辛 治疗 脑鸣耳鸣 体会"
"仝小林大剂量应用半夏临床治验4则","仝小林 大剂量 应用 半夏 临床治验4则"
"大剂量蛇六谷治疗胰腺癌临床体会","大剂量 蛇六谷 治疗 胰腺癌临床 体会"
"刘鲁明运用大剂量半枝莲治疗胰腺癌经验","刘鲁明运用 大剂量 半枝莲 治疗 胰腺癌 经验"
"史锁芳运用大剂量黄芪治疗慢阻肺验案2则","史锁芳运用 大剂量 黄芪 治疗 慢阻肺 验案 2则"
"大剂量参附注射液对急诊多发伤合并休克凝血功能的影响","大剂量 参附注射液 对 急诊多发伤合并休克凝血功能的 影响"
"大剂量大承气汤深度灌肠治疗脊柱外伤截瘫患者腹胀33例","大剂量 大承气汤 深度灌肠 治疗 脊柱外伤截瘫患者腹胀33例"
"大剂量黄芪注射液联合川芎嗪注射液治疗77例糖尿病肾病的疗效分析","大剂量 黄芪 注射液 联合 川芎嗪注射液 治疗 77例糖尿病肾病的疗效分析"
"联合使用大剂量痰热清注射液治疗脓毒症患者疗效观察","联合使用 大剂量 痰热清注射液 治疗 脓毒症患者 疗效观察"
"大剂量茵陈蒿汤治疗慢性乙型重型肝炎1例","大剂量 茵陈蒿汤 治疗 慢性乙型重型肝炎1例"
"大剂量生白术合胃肠动力中药治疗老年性气虚型便秘65例","大剂量 生白术 合胃肠动力中药 治疗 老年性气虚型便秘65例"
"大剂量应用附子出现瞑眩反应体会","大剂量 应用 附子 出现瞑眩反应 体会"
"镇痛下大剂量牵引结合手法治疗腰椎间盘突出症30例","镇痛下 大剂量 牵引 结合 手法 治疗 腰椎间盘突出症30例"
"大剂量黄芪注射液治疗囊尾蚴性脑积水的疗效观察","大剂量 黄芪 注射液 治疗 囊尾蚴性脑积水的疗效观察"
"以大剂量白芍为主治疗头晕1例","以 大剂量 白芍 为主 治疗 头晕1例"
"大剂量青风藤致少见全身性急性荨麻疹3例分析","大剂量 青风藤 致 少见全身性急性荨麻疹3例分析"
"张昱运用大剂量黄芪治疗肾病蛋白尿的经验","张昱运用 大剂量 黄芪 治疗 肾病蛋白尿的 经验"
"大剂量仙鹤草治疗过敏性紫癜致肠道出血1例","大剂量 仙鹤草 治疗 过敏性紫癜 致 肠道出血1例"
"大剂量清胃合剂治疗霉菌性食管炎51例临床观察","大剂量 清胃合剂 治疗 霉菌性食管炎51例临床观察"
"大剂量石膏治疗小儿感冒高热180例","大剂量 石膏 治疗 小儿感冒高热180例"
"自拟愈疡汤防治大剂量MTX化疗后口腔溃疡的临床观察","自拟愈疡汤 防治 大剂量 MTX化疗后口腔溃疡的临床观察"
"大剂量黄芪针治疗AECOPD机械通气患者的临床观察","大剂量 黄芪针 治疗 AECOPD机械通气患者的临床观察"
"大剂量赤芍治疗急性乳腺炎60例","大剂量 赤芍 治疗 急性乳腺炎60例"
"丹参川芎嗪注射液联合大剂量黄芪注射液治疗糖尿病肾病的临床观察","丹参川芎嗪注射液 联合 大剂量 黄芪 注射液 治疗 糖尿病肾病的临床观察"
"中医药防治肾病综合征大剂量激素性骨质疏松研究概况","中医药 防治 肾病综合征 大剂量 激素 性骨质疏松 研究概况"
"大剂量生黄芪治疗变应性鼻炎临床观察","大剂量 生黄芪 治疗 变应性鼻炎临床观察"
"仝小林教授应用大剂量葛根芩连汤治疗直肠炎经验","仝小林教授应用 大剂量 葛根芩连汤 治疗 直肠炎 经验"
"大剂量四逆汤临床治验3则","大剂量 四逆汤 临床治验3则"
"大剂量皮硝外敷治疗肠梗阻的疗效观察与护理","大剂量 皮硝 外敷 治疗 肠梗阻的疗效观察 与 护理"
"大剂量北芪四逆汤治疗晚期癌症经验","大剂量 北芪四逆汤 治疗 晚期癌症 经验"
"大剂量维生素B12联合针刺治疗三叉神经痛临床观察","大剂量 维生素B12 联合 针刺 治疗 三叉神经痛临床观察"
"大剂量旋覆代赭汤治疗脾胃虚弱型糖尿病胃轻瘫临床观察","大剂量 旋覆代赭汤 治疗 脾胃虚弱型糖尿病胃轻瘫临床观察"
"苦碟子联用大剂量黄芪治疗糖尿病肾病的临床研究","苦碟子 联用 大剂量 黄芪 治疗 糖尿病肾病的临床研究"
"大剂量大承气汤治疗胸腰椎骨折后腹胀便秘44例疗效观察","大剂量 大承气汤 治疗 胸腰椎骨折后腹胀便秘44例 疗效观察"
"八正散加用大剂量鱼腥草治疗女性急性膀胱炎70例","八正散 加用 大剂量 鱼腥草 治疗 女性急性膀胱炎70例"
"仝小林运用大剂量酸枣仁治疗失眠经验举隅","仝小林运用 大剂量 酸枣仁 治疗 失眠 经验 举隅"
"大剂量清热化瘀中药对乙型肝炎相关性慢加急性肝衰竭生存影响的前瞻性队列研究","大剂量 清热化瘀中药 对 乙型肝炎相关性慢加急性肝衰竭生存影响的前瞻性队列研究"
"大剂量灵芝与红景天对肺癌恶液质患者生活质量的影响","大剂量 灵芝 与 红景天 对 肺癌恶液质患者生活质量的 影响"
"大剂量生脉注射液对充血性心力衰竭患者血浆BNP的影响","大剂量 生脉注射液 对 充血性心力衰竭患者血浆BNP的 影响"
"大剂量川芎为主辨证治疗偏头痛137例","大剂量 川芎 为主 辨证 治疗 偏头痛137例"
"参麦注射液对骨肉瘤患者大剂量化疗后免疫功能的调节作用","参麦注射液 对 骨肉瘤患者 大剂量 化疗后免疫功能的 调节作用"
"运用大剂量附子治疗难治性哮喘体会","运用 大剂量 附子 治疗 难治性哮喘 体会"
"大剂量黄芪注射液合用刺五加治疗急性脑梗死疗效观察","大剂量 黄芪 注射液 合用 刺五加 治疗 急性脑梗死 疗效观察"
"大剂量犀角地黄汤加味治疗慢性乙型肝炎的临床研究","大剂量 犀角地黄汤 加味 治疗 慢性乙型肝炎的临床研究"
"通心络胶囊短期大剂量应用对不稳定性心绞痛血清炎性因子的影响","通心络胶囊短期 大剂量 应用 对 不稳定性心绞痛血清炎性因子的 影响"
"大剂量黄芪桂枝五物汤治疗糖尿病周围神经病变34例","大剂量 黄芪 桂枝五物汤 治疗 糖尿病周围神经病变34例"
"史锁芳教授运用大剂量附子治疗寒性哮喘的经验","史锁芳教授运用 大剂量 附子 治疗 寒性哮喘的 经验"
"复方甘草甜素联合大剂量丹参治疗原发性胆汁性肝硬化31例","复方甘草甜素 联合 大剂量 丹参 治疗 原发性胆汁性肝硬化31例"
"大剂量黄芪治疗扩张型心肌病合并心力衰竭的临床观察","大剂量 黄芪 治疗 扩张型心肌病合并心力衰竭的临床观察"
"大剂量生黄芪在ICU中的应用","大剂量 生黄芪 在 ICU 中的 应用"
"大剂量炮附子治疗难治性肾病综合征22例","大剂量 炮附子 治疗 难治性肾病综合征22例"
"大剂量玄参治狂病有效","大剂量 玄参 治 狂病有效"
"大剂量“炙甘草汤”临床运用心得","大剂量 “炙甘草汤” 临床运用 心得"
"大剂量黄芪注射液治疗不稳定型心绞痛患者的疗效观察","大剂量 黄芪 注射液 治疗 不稳定型心绞痛患者的 疗效观察"
"短期大剂量通心络对冠心病患者QT离散度的影响","短期 大剂量 通心络 对 冠心病患者QT离散度的 影响"
"大剂量应用香菇多糖对反复医院内感染老年患者免疫功能的影响","大剂量 应用 香菇多糖 对 反复医院内感染老年患者免疫功能的 影响"
"当归六黄汤治疗大剂量肾上腺皮质激素所致不良反应的临床观察","当归六黄汤 治疗 大剂量 肾上腺皮质激素 所致 不良反应的临床观察"
"大剂量附子(四逆汤)治疗转移性骨肿瘤疼痛30例疗效观察","大剂量 附子 (四逆汤) 治疗 转移性骨肿瘤疼痛30例 疗效观察"
"大剂量黄芪注射液治疗病毒性心肌炎46例疗效观察","大剂量 黄芪 注射液 治疗 病毒性心肌炎46例 疗效观察"
"使用大剂量滑石粉验案","使用 大剂量 滑石粉 验案"
"仝小林教授应用大剂量毒剧药治疗重症糖尿病周围神经痛验案1则","仝小林教授应用 大剂量 毒剧药 治疗 重症糖尿病周围神经痛 验案 1则"
"史锁芳教授应用大剂量甘草治疗支气管哮喘探讨经验","史锁芳教授应用 大剂量 甘草 治疗 支气管哮喘 探讨经验"
"《金匮要略》大剂量用药初步探讨","《金匮要略》 大剂量 用药 初步探讨"
"大剂量黄芪注射液联合川芎嗪注射液治疗糖尿病肾病疗效观察","大剂量 黄芪 注射液 联合 川芎嗪注射液 治疗 糖尿病肾病 疗效观察"
"大剂量川芎加味治疗偏头痛","大剂量 川芎 加味 治疗 偏头痛"
"早期大剂量应用丹参对急性颈髓损伤患者血液流变性的影响","早期 大剂量 应用 丹参 对 急性颈髓损伤患者血液流变性的 影响"
"大剂量白芍治疗过敏性鼻炎","大剂量 白芍 治疗 过敏性鼻炎"
"早期大剂量应用丹参对急性颈髓损伤的保护作用","早期 大剂量 应用 丹参 对 急性颈髓损伤的保护作用"
"大剂量中药治疗糖尿病疑难重症的思路","大剂量 中药 治疗 糖尿病疑难重症的 思路"
"名家大剂量用附子医案赏析","名家 大剂量 用 附子 医案 赏析"
"大剂量生脉注射液治疗冠心病68例临床观察","大剂量 生脉注射液 治疗 冠心病68例临床观察"
"大剂量豨莶草为主治疗冠心病体会","大剂量 豨莶草 为主 治疗 冠心病 体会"
"大剂量生南星治疗鼻咽癌的毒性学研究","大剂量 生南星 治疗 鼻咽癌的毒性学 研究"
"大剂量郁金治疗胆结石","大剂量 郁金 治疗 胆结石"
"仝小林教授应用大剂量黄芪治疗痿证经验","仝小林教授应用 大剂量 黄芪 治疗 痿证 经验"
"大剂量二十五味珊瑚丸吞服治疗偏头痛的临床对照研究","大剂量 二十五味珊瑚丸 吞服 治疗 偏头痛的临床对照研究"
"大剂量单味黄芪运用举隅","大剂量 单味黄芪 运用 举隅"
"大剂量活血化瘀中药治疗肝脏纤维化的临床观察","大剂量 活血化瘀中药 治疗 肝脏纤维化的临床观察"
"大剂量参附注射液治疗重症难治性心力衰竭临床观察","大剂量 参附注射液 治疗 重症难治性心力衰竭临床观察"
"大剂量赤芍复方治疗淤胆型肝炎研究","大剂量 赤芍 复方 治疗 淤胆型肝炎 研究"
"大剂量黄芪针联合疏血通针治疗肾性蛋白尿50例体会","大剂量 黄芪针 联合 疏血通针 治疗 肾性蛋白尿50例 体会"
"大剂量金钱石苇散治疗泌尿系结石20例","大剂量 金钱石苇散 治疗 泌尿系结石20例"
"火神派医家超大剂量安全使用附子探密","火神派医家 超大剂量 安全使用 附子 探密"
"大剂量血塞通治疗糖尿病视网膜病变的临床观察","大剂量 血塞通 治疗 糖尿病视网膜病变的临床观察"
"中药大剂量运用相关问题探讨","中药 大剂量 运用 相关问题 探讨"
"大剂量川芎嗪治疗不稳定型心绞痛78例临床观察","大剂量 川芎嗪 治疗 不稳定型心绞痛78例临床观察"
"单用大剂量参麦注射液治疗小儿病毒性心肌炎的疗效及对肝肾功能的影响","单用 大剂量 参麦注射液 治疗 小儿病毒性心肌炎的疗效 及 对 肝肾功能的 影响"
"大剂量六味地黄丸治疗顽固性口腔溃疡","大剂量 六味地黄丸 治疗 顽固性口腔溃疡"
"大剂量葛根治疗颈椎病80例体会","大剂量 葛根 治疗 颈椎病80例 体会"
"大剂量黄芪注射液联用阿昔洛韦治疗病毒性心肌炎疗效观察","大剂量 黄芪 注射液 联用 阿昔洛韦 治疗 病毒性心肌炎 疗效观察"
"大剂量雷公藤多甙对慢性肾炎的疗效观察","大剂量 雷公藤多甙 对 慢性肾炎的疗效观察"
"大剂量仙鹤草治疗梅尼埃病100例","大剂量 仙鹤草 治疗 梅尼埃病100例"
"应用大剂量附子临床治验举隅","应用 大剂量 附子 临床治验 举隅"
"大剂量稳心颗粒治疗肥胖患者期前收缩40例疗效观察","大剂量 稳心颗粒 治疗 肥胖患者期前收缩40例 疗效观察"
"大剂量薏苡仁止痛","大剂量 薏苡仁 止痛"
"石景亮大剂量半夏治疗慢性肾衰竭临床应用举隅","石景亮 大剂量 半夏 治疗 慢性肾衰竭临床 应用 举隅"
"大剂量仙鹤草治疗梅尼埃病疗效观察","大剂量 仙鹤草 治疗 梅尼埃病 疗效观察"
"大剂量黄芪、参附注射液治疗老年慢性充血性心力衰竭临床观察","大剂量 黄芪 、 参附注射液 治疗 老年慢性充血性心力衰竭临床观察"
"大剂量黄芪注射液联合血栓通治疗椎-基底动脉缺血性眩晕的临床观察","大剂量 黄芪 注射液 联合 血栓通 治疗 椎-基底动脉缺血性眩晕的临床观察"
"中药超大剂量应用历史及现状","中药 超大剂量 应用 历史 及 现状"
"大剂量参麦针减轻恶性肿瘤化疗后毒副反应的临床观察","大剂量 参麦针 减轻 恶性肿瘤 化疗后毒副反应的临床观察"
"大剂量生半夏治疗恶性肿瘤16例","大剂量 生半夏 治疗 恶性肿瘤16例"
"大剂量生脉注射液治疗急性左心衰伴心源性休克的临床疗效观察","大剂量 生脉注射液 治疗 急性左心衰伴心源性休克的临床疗效观察"
"大剂量参附液治疗婴幼儿哮喘的临床与实验研究","大剂量 参附液 治疗 婴幼儿哮喘的临床 与 实验研究"
"大剂量血脂康在经皮冠状动脉介入术中的炎症抑制作用","大剂量 血脂康 在 经皮冠状动脉介入术中的炎症抑制作用"
"大剂量黄芪、川芎嗪注射液治疗椎-基底动脉供血不足临床体会","大剂量 黄芪 、 川芎嗪注射液 治疗 椎-基底动脉供血不足临床 体会"
"大剂量参麦注射液对慢性肺心病右心功能的早期影响","大剂量 参麦注射液 对 慢性肺心病右心功能的早期 影响"
"大剂量丹参注射液佐治急性呼吸窘迫综合征47例","大剂量 丹参注射液 佐治 急性呼吸窘迫综合征47例"
"大剂量丹参注射液治疗肝硬化门脉高压脾切除术后血小板增多症","大剂量 丹参注射液 治疗 肝硬化门脉高压脾切除术后血小板增多症"
"大剂量痰热清治疗慢性阻塞性肺疾病急性期疗效观察","大剂量 痰热清 治疗 慢性阻塞性肺疾病急性期 疗效观察"
"大剂量黄芪注射液治疗以蛋白尿为主难治性紫癜肾8例临床体会","大剂量 黄芪 注射液 治疗 以蛋白尿为主难治性紫癜肾8例临床 体会"
"大剂量黄芪治疗急性病毒性心肌炎141例临床观察","大剂量 黄芪 治疗 急性病毒性心肌炎141例临床观察"
"大剂量芍药甘草汤治疗普通型肌肉痛性痉挛68例","大剂量 芍药甘草汤 治疗 普通型肌肉痛性痉挛68例"
"大剂量参附针对机械通气COPD患者胃黏膜pHi值的影响","大剂量 参附 针对 机械通气COPD患者胃黏膜pHi值的 影响"
"超大剂量醒脑静联用纳络酮治疗急重症昏迷3例","超大剂量 醒脑静 联用 纳络酮 治疗 急重症昏迷3例"
"大剂量赤芍治疗重症急性胰腺炎疗效观察","大剂量 赤芍 治疗 重症急性胰腺炎 疗效观察"
"大剂量赤芍治疗淤胆型肝炎25例","大剂量 赤芍 治疗 淤胆型肝炎25例"
"大剂量痰热清注射液治疗支气管肺炎30例","大剂量 痰热清注射液 治疗 支气管肺炎30例"
"大剂量赤芍治疗慢性重型肝炎患者对血小板的影响","大剂量 赤芍 治疗 慢性重型肝炎患者 对 血小板的 影响"
"陈宏珪教授运用大剂量川芎治愈眩晕1例","陈宏珪教授运用 大剂量 川芎 治愈 眩晕1例"
"大剂量保和丸治疗胃内结石(附88例报告)","大剂量 保和丸 治疗 胃内结石 (附88例报告)"
